
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444426278101 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;AV PERIMETRAL, N. SN, Apto 202, LT 35 Q 05 ;61.685,78;147.200,00;58.10;Não;Apartamento, 0.00 de área total, 66.73 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426278101
 8444421358778 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 20, N. SN, Apto 102, LT 26 VG 02 RUA CASTANHEIRA ;60.763,84;145.000,00;58.10;Não;Apartamento, 0.00 de área total, 57.60 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421358778
 8444422568792 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 10 ;RUA ARAGUAIA, N. SN, Apto 102, LT 57 QD 108B ;59.506,66;142.000,00;58.10;Não;Apartamento, 0.00 de área total, 58.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422568792
 8444422883140 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 10 ;RUA ARAGUAIA, N. SN, Apto 204, LT 57 QD 108 ;64.954,45;155.000,00;58.10;Não;Apartamento, 0.00 de área total, 65.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422883140
 8444423923022 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 10 ;RUA ARAGUAIA, N. SN, Apto 202, LT 60 QD 109 CONJ A ;59.925,72;143.000,00;58.10;Não;Apartamento, 0.00 de área total, 67.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423923022
 8444425750885 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 10 ;QUADRA 105, N. SN, Apto 103, LT 06 CJ A RUA TOCANTINS ;63.697,27;152.000,00;58.10;Não;Apartamento, 0.00 de área total, 54.94 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425750885
 8444426228570 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 85 CONJUNTO A, N. SN, Apto 101, 101 PAV TÉRREO RUA 38 LT 11 ;58.249,47;139.000,00;58.10;Não;Apartamento, 0.00 de área total, 58.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426228570
 8444420968483 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;RUA RENOVACAO, N. SN, Apto 102, LT 05, QD 48, CJ C ;61.601,97;147.000,00;58.10;Não;Apartamento, 0.00 de área total, 50.65 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420968483
 8444428812458 ;GO ;AGUAS LINDAS DE GOIAS ;CHACARAS QUEDAS DO DESCOBERTO ;RUA 1, N. SN, Apto 303, LT 595A QD 31 ;60.763,84;145.000,00;58.10;Não;Apartamento, 0.00 de área total, 48.27 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428812458
 8787706865670 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QD 72 N SN 202 02 RUA 18, N. SN, Apto 202, PAVIMENTO 01  LT 02 ;56.791,05;135.000,00;57.94;Não;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706865670
