
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1444420182635 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;QD 403 LT 21 CJ 11, N. SN, ;406.749,20;271.000,00;0.00;Não;Casa, 127.00 de área total, 127.00 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420182635
 8444424944422 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 425, N. S/N, Apto 102, CJ F LT 05 ;78.781,14;136.000,00;42.08;Não;Apartamento, 41.14 de área total, 29.37 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424944422
 8787700358025 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QS 305, N. SN, Apto 301, LOTES 2,3,4,5 E 6, CJ 9, QD QS 305 ;87.819,45;150.000,00;41.46;Não;Apartamento, 47.14 de área total, 31.31 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700358025
 8787703124076 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QS 517, N. S/N, Apto 801, LT 1 CJ A ;161.648,39;264.000,00;38.77;Não;Apartamento, 86.59 de área total, 46.48 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703124076
 8787703239019 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 307, N. 0, Apto 706, LT 3CJ 1 GARAGEM 40 ;166.546,82;272.000,00;38.77;Não;Apartamento, 118.64 de área total, 57.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703239019
 8444415444765 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QS 120, N. SN, Apto 402, BL C  LT03 CJ02 ;116.421,47;184.965,30;37.06;Não;Apartamento, 46.87 de área total, 42.18 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415444765
 8787707617905 ;DF ;SAMAMBAIA ;CENTRO URBANO ; QD 101 LT 4, N. SN, Apto 503, BL B ;157.000,00;157.000,00;0.00;Não;Apartamento, 57.26 de área total, 33.24 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707617905
 1444419158416 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QUADRA QR 325, N. SN, LT 19 CJ 04 ;267.000,00;267.000,00;0.00;Não;Casa, 115.00 de área total, 100.00 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419158416
 8444416273077 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QD QS 502 CJ 7 LT 1, N. SN, Apto 204, BL A ;245.000,00;245.000,00;0.00;Não;Apartamento, 82.02 de área total, 50.09 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416273077
 8787702961985 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 508, N. SN, Apto 701, LT 02 QD QN 508 VG SS1/16 ;341.287,80;341.287,80;0.00;Não;Apartamento, 116.01 de área total, 56.17 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702961985
